Appelation,Parker,Robinson,Suckling,Prix
Castillon Côtes de Bordeaux,91.0,91.0,None,50.0
Saint-Julien,88.0,88.0,88.0,89.0
Saint-Emilion,93.0,93.0,93.0,125.0
Castillon Côtes de Bordeaux,None,None,None,45.67
Saint-Estèphe,92.0,92.0,92.0,43.0
Saint-Estèphe,None,16.5,16.5,49.0
Pessac-Léognan,90.0,90.0,90.0,41.0
Barsac,94.0,94.0,94.0,45.83
Saint-Emilion,94.0,94.0,94.0,85.0
Saint-Julien,93.0,93.0,93.0,46.0
Haut-Médoc,None,None,91.5,11.33
Saint-Emilion,93.0,93.0,93.0,39.0
Margaux,94.0,94.0,94.0,67.0
Pessac-Léognan,92.0,92.0,92.0,39.5
Saint-Estèphe,93.0,93.0,93.0,37.0
Pessac-Léognan,96.0,96.0,96.0,90.0
Pomerol,91.5,None,91.5,63.0
Médoc,91.0,91.0,91.0,30.67
Pomerol,91.0,91.0,91.0,57.17
Saint-Julien,90.0,None,None,26.0
Castillon Côtes de Bordeaux,91.0,91.0,91.0,24.5
Montagne-Saint-Emilion,None,None,89.5,12.0
Sauternes,90.0,None,None,25.5
Lalande de Pomerol,89.0,None,89.0,21.0
Saint-Emilion,92.0,None,92.0,35.0
Pessac-Léognan,98.0,98.0,98.0,740.0
Listrac,91.0,91.0,91.0,16.33
Saint-Emilion,100.0,100.0,100.0,240.0
Haut-Médoc,90.0,90.0,90.0,17.5
Médoc,86.0,86.0,86.0,29.0
Fronsac,88.0,None,88.0,13.5
Pauillac,95.0,95.0,95.0,249.67
Pauillac,94.0,94.0,94.0,85.0
Pauillac,92.0,92.0,92.0,279.0
Pessac-Léognan,92.0,92.0,92.0,47.0
Saint-Estèphe,78.0,78.0,78.0,43.33
Pauillac,91.0,91.0,91.0,31.5
Saint-Estèphe,None,None,None,20.0
Pomerol,91.0,None,91.0,90.0
Haut-Médoc,91.0,91.0,91.0,35.0
Saint-Emilion,94.0,94.0,94.0,120.0
Saint-Emilion,87.0,87.0,None,40.0
Haut-Médoc,93.0,None,93.0,43.67
Saint-Emilion,92.0,92.0,92.0,55.0
Fronsac,90.0,90.0,90.0,24.0
Haut-Médoc,None,16.0,16.0,32.0
Sauternes,94.0,94.0,94.0,58.0
Margaux,88.0,88.0,88.0,28.08
Haut-Médoc,91.0,None,91.0,33.0
Pomerol,93.0,93.0,93.0,99.0
Fronsac,86.0,86.0,86.0,19.0
Pomerol,91.0,91.0,91.0,130.0
Saint-Estèphe,94.0,94.0,94.0,265.0
Castillon Côtes de Bordeaux,92.0,92.0,92.0,27.5
Pomerol,93.0,93.0,93.0,105.0
Pauillac,94.0,94.0,94.0,79.0
Saint-Emilion,90.0,90.0,90.0,35.0
Haut-Médoc,86.0,86.0,86.0,16.0
Saint-Julien,93.0,93.0,93.0,69.0
Saint-Emilion,95.0,95.0,95.0,107.0
Pessac-Léognan,99.0,99.0,99.0,775.0
Pauillac,100.0,100.0,100.0,1290.0
Canon-Fronsac,92.0,None,92.0,27.0
Listrac,86.0,86.0,86.0,15.0
